地名,センター,燃やすごみ,陶器・ガラス・金属ごみ,資源,
荏原1丁目,荏原センター,月 木,土1 土3,水,荏原
荏原2〜4丁目,荏原センター,月 木,土2 土4,水,荏原
荏原5・6丁目,荏原センター,月 木,金1 金3,火,荏原
荏原7丁目,荏原センター,月 木,金2 金4,火,荏原
大井1・2・4丁目,品川センター,火 金,木2 木4,土,品川
大井3・5丁目,品川センター,火 金,木2 木4,水,品川
大井6丁目,品川センター,火 金,月1 月3,土,品川
大井7丁目,品川センター,火 金,月1 月3,水,品川
大崎1〜5丁目,品川センター,月 木,土2 土4,火,品川
勝島1・3丁目,品川センター,火 金,月2 月4,土,品川
勝島2丁目,品川センター,火 金,水2 水4,火,品川
上大崎1丁目,品川センター,月 木,土1 土3,火,品川
上大崎2〜4丁目,品川センター,月 木,水1 水3,金,品川
北品川1・2丁目,品川センター,水 土,火1 火3,月,品川
北品川3丁目,品川センター,水 土,金1 金3,月,品川
北品川4〜6丁目,品川センター,月 木,土1 土3,火,品川
小山1・2丁目,荏原センター,月 木,土1 土3,水,荏原
小山3丁目,荏原センター,月 木,土2 土4,水,荏原
小山4・5丁目,荏原センター,月 木,金1 金3,火,荏原
小山6・7丁目,荏原センター,月 木,金2 金4,火,荏原
小山台1・2丁目,荏原センター,月 木,土1 土3,水,荏原
戸越1〜4丁目,荏原センター,水 土,火2 火4,金,荏原
戸越5丁目,荏原センター,水 土,火1 火3,金,荏原
戸越6丁目,荏原センター,水 土,月2 月4,木,荏原
中延1・2丁目,荏原センター,火 金,木1 木3,月,荏原
中延3・4丁目,荏原センター,火 金,水1 水3,土,荏原
中延5・6丁目,荏原センター,火 金,水2 水4,土,荏原
西大井1丁目（4番28号〜32号のみ）,荏原センター,水 土,月1 月3,木,荏原
西大井1丁目（上記以外）,品川センター,火 金,木1 木3,水,品川
西大井2〜5丁目,品川センター,火 金,木1 木3,水,品川
西大井6丁目（1番のみ）,荏原センター,水 土,月2 月4,木,荏原
西大井6丁目（1番以外）,品川センター,火 金,木1 木3,水,品川
西五反田1丁目,品川センター,月 木,土2 土4,火,品川
西五反田2丁目,品川センター,月 木,土1 土3,金,品川
西五反田3丁目,品川センター,月 木,水1 水3,金,品川
西五反田4〜7丁目,品川センター,月 木,水2 水4,金,品川
西五反田8丁目,品川センター,月 木,土2 土4,金,品川
西品川1丁目（25番・26番・28番〜30番）,荏原センター,水 土,火1 火3,金,荏原
西品川1丁目（上記以外）,品川センター,水 土,金1 金3,月,品川
西品川2・3丁目,品川センター,火 金,木2 木4,水,品川
西中延1・2丁目,荏原センター,火 金,木1 木3,月,荏原
西中延3丁目,荏原センター,火 金,水1 水3,土,荏原
旗の台1・6丁目,荏原センター,月 木,金2 金4,火,荏原
旗の台2・3丁目,荏原センター,火 金,水1 水3,土,荏原
旗の台4・5丁目,荏原センター,火 金,水2 水4,土,荏原
東大井1〜4丁目,品川センター,水 土,金1 金3,木,品川
東大井5丁目（1番〜10番）,品川センター,水 土,金2 金4,木,品川
東大井5丁目（上記以外）,品川センター,水 土,金1 金3,木,品川
東大井6丁目（1番〜16番）,品川センター,水 土,金1 金3,木,品川
東大井6丁目（17番）,品川センター,火 金,月1 月3,土,品川
東五反田1〜5丁目,品川センター,月 木,土1 土3,火,品川
東品川1〜3丁目,品川センター,水 土,火2 火4,月,品川
東品川4丁目,品川センター,水 土,金2 金4,月,品川
東品川5丁目,品川センター,水 土,火2 火4,月,品川
東中延1丁目,荏原センター,火 金,木2 木4,月,荏原
東中延2丁目,荏原センター,火 金,水1 水3,土,荏原
平塚1丁目,荏原センター,火 金,木2 木4,月,荏原
平塚2丁目（4番4号ボナール戸越のみ）,品川センター,月 木,木2 木4,月,品川
平塚2丁目（上記以外）,荏原センター,火 金,木2 木4,月,荏原
平塚3丁目,荏原センター,火 金,木2 木4,月,荏原
広町1・2丁目,品川センター,水 土,木1 木3,月,品川
二葉1丁目,荏原センター,水 土,火1 火3,金,荏原
二葉2・3丁目,荏原センター,水 土,月1 月3,木,荏原
二葉4丁目,荏原センター,水 土,月2 月4,木,荏原
南大井1〜4丁目,品川センター,火 金,月2 月4,土,品川
南大井5丁目,品川センター,火 金,月1 月3,土,品川
南大井6丁目（18番大森駅前住宅のみ）,品川センター,月 水 金,月1 月3,土,品川
南大井6丁目（上記以外）,品川センター,火 金,月1 月3,土,品川
南品川1・2丁目,品川センター,水 土,火1 火3,月,品川
南品川3〜6丁目,品川センター,水 土,金2 金4,木,品川
八潮1丁目,品川センター,水 土,火1 火3,月,品川
八潮2〜4丁目,品川センター,水 土,金1 金3,月,品川
八潮5丁目（1〜39号棟）,品川センター,月 水 金,土1 土3,月,品川
八潮5丁目（40〜69号棟・わかくさ荘）,品川センター,火 木 土,土2 土4,月,品川
豊町1・2丁目,荏原センター,水 土,火1 火3,金,荏原
豊町3〜5丁目,荏原センター,水 土,月1 月3,木,荏原
豊町6丁目,荏原センター,水 土,月2 月4,木,荏原